iter	Passed	Remaining
855	23730	3992
856	23755	3963
857	23782	3935
858	23807	3907
859	23833	3879
860	23857	3851
861	23882	3823
862	23905	3795
863	23933	3767
864	23958	3739
865	23986	3711
866	24014	3683
867	24043	3656
868	24070	3628
869	24099	3601
870	24126	3573
871	24152	3545
872	24180	3517
873	24208	3490
874	24234	3462
875	24261	3434
876	24288	3406
877	24313	3378
878	24337	3350
879	24368	3322
880	24401	3295
881	24433	3268
882	24460	3241
883	24489	3213
884	24519	3186
885	24552	3159
886	24575	3130
887	24608	3103
888	24636	3076
889	24662	3048
890	24686	3020
891	24714	2992
892	24739	2964
893	24772	2937
894	24800	2909
895	24830	2882
896	24867	2855
897	24896	2827
898	24926	2800
899	24955	2772
900	25008	2747
901	25052	2721
902	25087	2694
903	25127	2668
904	25162	2641
905	25198	2614
906	25233	2587
907	25267	2560
908	25290	2531
909	25320	2504
910	25346	2476
911	25377	2448
912	25412	2421
913	25441	2393
914	25471	2366
915	25500	2338
916	25528	2310
917	25557	2282
918	25582	2254
919	25612	2227
920	25641	2199
921	25670	2171
922	25694	2143
923	25721	2115
924	25745	2087
925	25772	2059
926	25796	2031
927	25824	2003
928	25854	1975
929	25882	1948
930	25910	1920
931	25937	1892
932	25963	1864
933	25995	1836
934	26025	1809
935	26052	1781
936	26082	1753
937	26118	1726
938	26144	1698
939	26172	1670
940	26199	1642
941	26226	1614
942	26251	1586
943	26281	1559
944	26308	1531
945	26337	1503
946	26365	1475
947	26391	1447
948	26418	1419
949	26448	1392
950	26472	1364
951	26499	1336
952	26527	1308
953	26551	1280
954	26578	1252
955	26610	1224
956	26639	1196
957	26664	1169
958	26690	1141
959	26712	1113
960	26746	1085
961	26789	1058
962	26830	1030
963	26872	1003
964	26960	977
965	27058	952
966	27103	924
967	27131	896
968	27159	868
969	27187	840
970	27211	812
971	27235	784
972	27260	756
973	27284	728
974	27308	700
975	27336	672
976	27365	644
977	27405	616
978	27441	588
979	27476	560
980	27508	532
981	27542	504
982	27577	476
983	27611	448
984	27647	421
985	27692	393
986	27726	365
987	27774	337
988	27811	309
989	27844	281
990	27883	253
991	27919	225
992	27946	197
993	27979	168
994	28011	140
995	28043	112
996	28073	84
997	28105	56
998	28139	28
999	28179	0
